ts,value
2016-07-10 14:19:51,29844
2016-07-10 14:20:51,29845
2016-07-10 14:21:52,29846
2016-07-10 14:22:53,29847
2016-07-10 14:23:58,29848
2016-07-10 14:24:58,29849
2016-07-10 14:25:58,29849
2016-07-10 14:26:55,29850
2016-07-10 14:27:56,29850
2016-07-10 14:28:57,29850
2016-07-10 14:29:57,29850
2016-07-10 14:30:58,29850
2016-07-10 14:31:58,29850
2016-07-10 14:32:59,29850
2016-07-10 14:34:00,29851
2016-07-10 14:35:00,29853
2016-07-10 14:36:01,29855
2016-07-10 14:37:02,29855
2016-07-10 14:38:02,29855
2016-07-10 14:39:03,29855
2016-07-10 14:40:04,29855
2016-07-10 14:41:04,29855
2016-07-10 14:42:05,29855
2016-07-10 14:43:05,29855
2016-07-10 14:44:06,29855
2016-07-10 14:45:07,29855
2016-07-10 14:46:08,29855
2016-07-10 14:47:12,29855
